Sa 1 Feb , Everton , 4 - 0 , Leicester City
Sa 1 Feb , Ipswich Town , 1 - 2 , Southampton
Sa 1 Feb , Newcastle Utd , 1 - 2 , Fulham
Sa 1 Feb , Wolverhampton , 2 - 0 , Aston Villa
Su 2 Feb , Brentford , 0 - 2 , Tottenham
Su 2 Feb , Manchester Utd , 0 - 2 , Crystal Palace
Su 2 Feb , Arsenal , 5 - 1 , Manchester City
Mo 3 Feb , Chelsea , 2 - 1 , West Ham Utd
We 12 Feb , Everton , 2 - 2 , Liverpool
Fr 14 Feb , Brighton , 3 - 0 , Chelsea
Sa 15 Feb , Leicester City , 0 - 2 , Arsenal
Sa 15 Feb , Aston Villa , 1 - 1 , Ipswich Town
Sa 15 Feb , Fulham , 2 - 1 , Nottm Forest
Sa 15 Feb , Manchester City , 4 - 0 , Newcastle Utd
Sa 15 Feb , Southampton , 1 - 3 , Bournemouth
Sa 15 Feb , West Ham Utd , 0 - 1 , Brentford
Sa 15 Feb , Crystal Palace , 1 - 2 , Everton
