Sun 2 Nov , FC Emmen , 2 - 2 , Jong Utrecht
Sun 2 Nov , MVV Maastricht , 3 - 4 , Jong Ajax
Mon 3 Nov , FC Dordrecht , 0 - 1 , RKC Waalwijk
Mon 3 Nov , Jong AZ , 0 - 2 , ADO Den Haag
Mon 3 Nov , Jong PSV , 2 - 1 , Almere City
Fri 7 Nov , ADO Den Haag , 4 - 0 , FC Eindhoven
Fri 7 Nov , Almere City , 4 - 0 , Willem II
Fri 7 Nov , FC Eindhoven , 1 - 3 , Roda JC
Fri 7 Nov , Jong Ajax , 0 - 0 , MVV Maastricht
Fri 7 Nov , Jong AZ , 0 - 2 , FC Den Bosch
Fri 7 Nov , Jong Utrecht , 1 - 2 , FC Dordrecht
Fri 7 Nov , Vitesse Arnhem , 0 - 4 , VVV
Fri 7 Nov , Willem II , 1 - 1 , FC Emmen
Sat 8 Nov , Helmond Sport , 2 - 3 , Cambuur
Sun 9 Nov , RKC Waalwijk , 1 - 4 , TOP Oss
Sat 15 Nov , FC Eindhoven , 3 - 3 , Jong PSV
Sat 15 Nov , Willem II , 1 - 1 , De Graafschap
