Mon 13 Oct , U. de Chile , 2 - 1 , Palestino
Fri 17 Oct , Audax Italiano , 4 - 3 , Union La Calera
Fri 17 Oct , D. Iquique , 2 - 3 , OHiggins
Sat 18 Oct , La Serena , 1 - 1 , Nublense
Sat 18 Oct , D. Limache , 2 - 0 , Cobresal
Sun 19 Oct , Coquimbo Unido , 1 - 0 , Colo-Colo
Sun 19 Oct , Everton , 0 - 3 , U. Catolica
Fri 24 Oct , Palestino , 2 - 1 , Everton
Sat 25 Oct , La Serena , 2 - 1 , Audax Italiano
Sat 25 Oct , Huachipato , 1 - 1 , D. Iquique
Sun 26 Oct , U. Catolica , 1 - 0 , U. de Chile
Sun 26 Oct , Cobresal , 1 - 0 , Union Espanola
Sun 26 Oct , OHiggins , 0 - 1 , Coquimbo Unido
Sun 26 Oct , Union La Calera , 3 - 0 , Nublense
Mon 27 Oct , Colo-Colo , 2 - 2 , D. Limache
Fri 31 Oct , Audax Italiano , 1 - 2 , Cobresal
Fri 31 Oct , D. Iquique , 1 - 2 , La Serena
Sat 1 Nov , Nublense , 0 - 1 , Colo-Colo
Sun 2 Nov , Huachipato , 1 - 0 , U. de Chile
Sun 2 Nov , Coquimbo Unido , 2 - 0 , Union La Calera
Sun 2 Nov , U. Catolica , 0 - 2 , OHiggins
Sun 2 Nov , Everton , 0 - 0 , Union Espanola
Mon 3 Nov , Palestino , 2 - 1 , D. Limache
Wed 5 Nov , U. de Chile , 2 - 0 , Everton
Fri 7 Nov , Union La Calera , 1 - 2 , D. Iquique
Sat 8 Nov , La Serena , 0 - 1 , U. Catolica
Sat 8 Nov , Union Espanola , 1 - 2 , Colo-Colo
Sat 8 Nov , Palestino , 1 - 2 , Coquimbo Unido
Sat 8 Nov , OHiggins , 4 - 2 , Nublense
Sun 9 Nov , Huachipato , 2 - 1 , Audax Italiano
Sun 9 Nov , U. de Chile , 4 - 3 , D. Limache
Sun 9 Nov , Cobresal , 1 - 2 , Everton
