Sat 24 May , Barra FC , 1 - 1 , EC Sao Jose-
Sat 24 May , GAS , 1 - 2 , Manaus+
Sat 24 May , Luverdense , 1 - 0 , Porto Velho-
Sun 25 May , Azuriz , 0 - 0 , Guarany de Bage-
Sun 25 May , Brasil de P. , 1 - 2 , Marcilio Dias+
Sun 25 May , Central SC , 1 - 0 , Horizonte-
Sun 25 May , Jequie , 3 - 1 , Lagarto+
Sun 25 May , Maracana , 0 - 2 , Sampaio Correa-
Sun 25 May , Sousa , 0 - 1 , Santa Cruz-
Sun 25 May , Sergipe , 0 - 0 , Uniao C.-
Sun 25 May , Ferroviario , 1 - 0 , America RN-
Sun 25 May , Goianesia , 0 - 1 , Capital-
Mon 26 May , Sao Luiz , 0 - 1 , Joinville-
Wed 28 May , Independencia , 0 - 0 , Tuna Luso-
Fri 30 May , Iguatu , 1 - 0 , Maranhao-
Sat 31 May , Lagarto , 3 - 1 , Juazeirense+
Sat 31 May , Monte Azul , 2 - 1 , Uberlandia+
Sat 31 May , Nova Iguacu , 1 - 1 , Portuguesa-
Sat 31 May , Itabirito , 1 - 1 , Cascavel-
Sat 31 May , Aparecidense , 4 - 1 , Luverdense+
Sat 31 May , Operario MS , 0 - 1 , Inter Limeira-
Sat 31 May , Sampaio Correa , 2 - 2 , Altos+
Sat 31 May , Trem , 0 - 3 , Manauara+
Sat 31 May , Treze , 0 - 3 , Central SC+
Sat 31 May , Manaus , 1 - 0 , Independencia-
Sat 31 May , Porto Velho , 0 - 2 , Ceilandia-
Sat 31 May , Porto Vitória , 2 - 0 , Boavista-
Sat 31 May , Pouso Alegre , 1 - 0 , Rio Branco ES-
Sat 31 May , Uniao C. , 0 - 4 , ASA+
Sat 31 May , EC Sao Jose , 1 - 0 , Azuriz-
Sat 31 May , Mixto , 3 - 2 , Goianesia+
Sat 31 May , Agua Santa , 1 - 1 , Marica-
Sat 31 May , Cianorte , 2 - 3 , Goiatuba EC+
Sat 31 May , Imperatriz , 0 - 0 , Maracana-
Sun 1 Jun , Tuna Luso , 3 - 0 , GAS+
Sun 1 Jun , Capital , 0 - 0 , Goiania-
Sun 1 Jun , Barcelona BA , 0 - 1 , Sergipe-
Sun 1 Jun , Guarany de Bage , 0 - 2 , Barra FC-
Sun 1 Jun , Horizonte , 4 - 2 , Santa C. Natal+
Sun 1 Jun , Joinville , 1 - 0 , Brasil de P.-
Sun 1 Jun , Parnahyba , 1 - 0 , Tocantinopolis-
Sun 1 Jun , Penedense , 2 - 4 , Jequie+
Sun 1 Jun , America RN , 2 - 0 , Sousa-
Sun 1 Jun , Santa Cruz , 3 - 1 , Ferroviario+
Sun 1 Jun , Humaita , 1 - 3 , Aguia de Maraba+
Mon 2 Jun , Marcilio Dias , 3 - 0 , Sao Luiz+
Wed 4 Jun , Rio Branco ES , 3 - 0 , Pouso Alegre+
Sat 7 Jun , Santa C. Natal , 1 - 0 , Horizonte-
Sat 7 Jun , Cascavel , 1 - 1 , Itabirito-
Sat 7 Jun , Boavista , 0 - 1 , Porto Vitória-
Sat 7 Jun , Ceilandia , 3 - 0 , Porto Velho+
Sat 7 Jun , Marica , 0 - 1 , Agua Santa-
Sat 7 Jun , Goiania , 1 - 1 , Capital-
Sat 7 Jun , Inter Limeira , 5 - 1 , Operario MS+
Sat 7 Jun , Manauara , 2 - 0 , Trem-
Sat 7 Jun , Sao Luiz , 3 - 0 , Marcilio Dias+
Sat 7 Jun , Tocantinopolis , 0 - 0 , Parnahyba-
Sat 7 Jun , ASA , 2 - 2 , Uniao C.+
Sat 7 Jun , Goiatuba EC , 3 - 1 , Cianorte+
Sat 7 Jun , Independencia , 1 - 0 , Manaus-
Sat 7 Jun , Portuguesa , 1 - 0 , Nova Iguacu-
Sat 7 Jun , Uberlandia , 2 - 0 , Monte Azul-
Sat 7 Jun , GAS , 0 - 0 , Tuna Luso-
Sat 7 Jun , Luverdense , 3 - 1 , Aparecidense+
Sat 7 Jun , Aguia de Maraba , 6 - 0 , Humaita+
Sun 8 Jun , Azuriz , 1 - 3 , EC Sao Jose+
Sun 8 Jun , Brasil de P. , 1 - 0 , Joinville-
Sun 8 Jun , Central SC , 1 - 0 , Treze-
Sun 8 Jun , Jequie , 0 - 0 , Penedense-
Sun 8 Jun , Maracana , 2 - 3 , Imperatriz+
Sun 8 Jun , Maranhao , 1 - 1 , Iguatu-
Sun 8 Jun , Sergipe , 4 - 1 , Barcelona BA+
Sun 8 Jun , Ferroviario , 3 - 1 , Santa Cruz+
Sun 8 Jun , Goianesia , 2 - 2 , Mixto+
Wed 11 Jun , Sousa , 1 - 0 , America RN-
Wed 11 Jun , Altos , 1 - 1 , Sampaio Correa-
Wed 11 Jun , Juazeirense , 2 - 1 , Lagarto+
Fri 13 Jun , Iguatu , 0 - 1 , Tocantinopolis-
Sat 14 Jun , Cianorte , 3 - 2 , Uberlandia+
Sat 14 Jun , Nova Iguacu , 0 - 0 , Rio Branco ES-
Sat 14 Jun , Agua Santa , 2 - 0 , Boavista-
Sat 14 Jun , Aparecidense , 2 - 0 , Ceilandia-
Sat 14 Jun , Joinville , 2 - 1 , Sao Luiz+
Sat 14 Jun , Operario MS , 0 - 0 , Cascavel-
Sat 14 Jun , Pouso Alegre , 2 - 0 , Portuguesa-
Sat 14 Jun , Sampaio Correa , 2 - 0 , Maracana-
Sat 14 Jun , Trem , 2 - 1 , Aguia de Maraba+
Sat 14 Jun , Porto Velho , 0 - 0 , Luverdense-
Sat 14 Jun , Porto Vitória , 0 - 0 , Marica-
Sat 14 Jun , Uniao C. , 2 - 0 , Sergipe-
Sat 14 Jun , EC Sao Jose , 3 - 3 , Barra FC+
Sat 14 Jun , Marcilio Dias , 1 - 2 , Brasil de P.+
Sat 14 Jun , Mixto , 3 - 0 , Goiania+
Sat 14 Jun , Imperatriz , 0 - 1 , Altos-
Sun 15 Jun , Guarany de Bage , 0 - 1 , Azuriz-
Sun 15 Jun , Tuna Luso , 3 - 0 , Independencia+
Sun 15 Jun , Capital , 1 - 1 , Goianesia-
Sun 15 Jun , Itabirito , 0 - 0 , Inter Limeira-
Sun 15 Jun , Barcelona BA , 1 - 0 , ASA-
Sun 15 Jun , Horizonte , 1 - 1 , Central SC-
Sun 15 Jun , Parnahyba , 2 - 2 , Maranhao+
Sun 15 Jun , Penedense , 0 - 0 , Juazeirense-
Sun 15 Jun , Manaus , 1 - 2 , GAS+
Sun 15 Jun , Santa Cruz , 2 - 0 , Sousa-
Sun 15 Jun , Humaita , 2 - 2 , Manauara+
Mon 16 Jun , Lagarto , 2 - 1 , Jequie+
Mon 16 Jun , America RN , 3 - 2 , Ferroviario+
Thu 19 Jun , Treze , 1 - 2 , Santa C. Natal+
Sat 21 Jun , Monte Azul , 3 - 2 , Goiatuba EC+
Sat 21 Jun , Barra FC , 3 - 0 , Guarany de Bage+
Sat 28 Jun , Santa C. Natal , 1 - 2 , America RN+
Sat 28 Jun , Cascavel , 1 - 1 , Monte Azul-
Sat 28 Jun , Altos , 2 - 1 , Iguatu+
Sat 28 Jun , Boavista , 1 - 1 , Nova Iguacu-
Sat 28 Jun , Inter Limeira , 2 - 0 , Cianorte-
Sat 28 Jun , Manauara , 2 - 2 , Manaus+
Sat 28 Jun , Maranhao , 2 - 0 , Sampaio Correa-
Sat 28 Jun , Operario MS , 2 - 1 , Goiatuba EC+
Sat 28 Jun , Ceilandia , 2 - 1 , Mixto+
Sat 28 Jun , ASA , 1 - 0 , Lagarto-
Sat 28 Jun , Ferroviario , 1 - 1 , Treze-
Sat 28 Jun , Porto Velho , 0 - 0 , Goianesia-
Sat 28 Jun , Portuguesa , 2 - 1 , Porto Vitória+
Sat 28 Jun , Pouso Alegre , 1 - 1 , Marica-
Sat 28 Jun , Rio Branco ES , 3 - 2 , Agua Santa+
Sat 28 Jun , Sergipe , 2 - 0 , Penedense-
Sat 28 Jun , Uberlandia , 4 - 0 , Itabirito+
Sat 28 Jun , Uniao C. , 1 - 0 , Juazeirense-
Sat 28 Jun , GAS , 2 - 1 , Humaita+
Sat 28 Jun , Luverdense , 2 - 1 , Capital+
Sat 28 Jun , Imperatriz , 4 - 0 , Tocantinopolis+
Sun 29 Jun , Azuriz , 1 - 1 , Marcilio Dias-
Sun 29 Jun , Guarany de Bage , 1 - 0 , Brasil de P.-
Sun 29 Jun , Tuna Luso , 2 - 0 , Aguia de Maraba-
Sun 29 Jun , Goiania , 0 - 3 , Aparecidense+
Sun 29 Jun , Jequie , 0 - 0 , Barcelona BA-
Sun 29 Jun , Maracana , 2 - 1 , Parnahyba+
Sun 29 Jun , Santa Cruz , 0 - 1 , Central SC-
Sun 29 Jun , Sousa , 3 - 1 , Horizonte+
Sun 29 Jun , Independencia , 2 - 2 , Trem+
Mon 30 Jun , Barra FC , 1 - 0 , Joinville-
Mon 30 Jun , Sao Luiz , 1 - 2 , EC Sao Jose+
Sat 5 Jul , Cianorte , 2 - 0 , Monte Azul-
Sat 5 Jul , Nova Iguacu , 2 - 1 , Pouso Alegre+
Sat 5 Jul , Agua Santa , 0 - 0 , Porto Vitória-
Sat 5 Jul , Aparecidense , 7 - 0 , Porto Velho+
Sat 5 Jul , Barra FC , 1 - 0 , Azuriz-
Sat 5 Jul , Ceilandia , 1 - 0 , Luverdense-
Sat 5 Jul , Marica , 1 - 0 , Boavista-
Sat 5 Jul , Goianesia , 1 - 3 , Goiania+
Sat 5 Jul , Inter Limeira , 1 - 0 , Cascavel-
Sat 5 Jul , Juazeirense , 2 - 1 , Jequie+
Sat 5 Jul , Sampaio Correa , 3 - 0 , Imperatriz+
Sat 5 Jul , Tocantinopolis , 1 - 1 , Maranhao-
Sat 5 Jul , Aguia de Maraba , 0 - 1 , Manauara-
Sat 5 Jul , ASA , 2 - 2 , Sergipe+
Sat 5 Jul , Goiatuba EC , 1 - 1 , Uberlandia-
Sat 5 Jul , Rio Branco ES , 0 - 0 , Portuguesa-
Sat 5 Jul , Ferroviario , 0 - 0 , Sousa-
Sat 5 Jul , EC Sao Jose , 0 - 1 , Guarany de Bage-
Sat 5 Jul , GAS , 1 - 2 , Independencia+
Sat 5 Jul , Mixto , 1 - 0 , Capital-
Sun 6 Jul , Brasil de P. , 0 - 1 , Sao Luiz-
