Sun 28 Sep , Levadia , 3 - 1 , Tallinna Kalev
Sat 4 Oct , Kuressaare , 1 - 1 , Paide
Sat 4 Oct , Tallinna Kalev , 1 - 3 , Narva Trans
Sat 4 Oct , Harju JK , 1 - 2 , Flora
Sun 5 Oct , Levadia , 3 - 0 , Tammeka
Sun 5 Oct , Nomme Kalju , 1 - 0 , Vaprus
Sat 18 Oct , Paide , 5 - 0 , Tammeka
Sat 18 Oct , Kuressaare , 0 - 3 , Levadia
Sat 18 Oct , Narva Trans , 1 - 1 , Vaprus
Sat 18 Oct , Flora , 6 - 0 , Tallinna Kalev
Sun 19 Oct , Harju JK , 1 - 3 , Nomme Kalju
Tue 21 Oct , Flora , 4 - 0 , Narva Trans
Tue 21 Oct , Vaprus , 0 - 1 , Kuressaare
Wed 22 Oct , Harju JK , 2 - 2 , Tammeka
Wed 22 Oct , Tallinna Kalev , 0 - 2 , Nomme Kalju
Wed 22 Oct , Levadia , 1 - 2 , Paide
Sat 25 Oct , Harju JK , 1 - 0 , Narva Trans
Sat 25 Oct , Kuressaare , 0 - 1 , Nomme Kalju
Sat 25 Oct , Tammeka , 5 - 2 , Tallinna Kalev
Sun 26 Oct , Paide , 1 - 1 , Flora
Sun 26 Oct , Vaprus , 1 - 3 , Levadia
Sat 1 Nov , Flora , 2 - 0 , Kuressaare
Sun 2 Nov , Nomme Kalju , 2 - 1 , Tammeka
Sun 2 Nov , Paide , 3 - 0 , Vaprus
Sun 2 Nov , Narva Trans , 0 - 4 , Levadia
Sun 2 Nov , Harju JK , 4 - 1 , Tallinna Kalev
Sat 8 Nov , Harju JK , 2 - 2 , Levadia
Sat 8 Nov , Nomme Kalju , 1 - 1 , Paide
Sat 8 Nov , Tallinna Kalev , 2 - 1 , Kuressaare
Sat 8 Nov , Tammeka , 2 - 0 , Narva Trans
Sat 8 Nov , Vaprus , 0 - 3 , Flo
