Sat 12 Jul , G. Kitakyushu , 1 - 3 , Tochigi City
Sat 12 Jul , Kamatamare S. , 4 - 1 , Tochigi SC
Sat 12 Jul , Kochi United , 1 - 1 , Z. Kanazawa
Sat 12 Jul , Matsumoto Y. , 3 - 0 , Nara Club
Sat 12 Jul , Osaka , 0 - 0 , T. Miyazaki
Sat 12 Jul , SC Sagamihara , 0 - 1 , Fukushima Utd
Sat 12 Jul , V. Hachinohe , 5 - 1 , Gifu
Sat 12 Jul , FC Ryukyu , 1 - 0 , Gainare Tottori
Sat 12 Jul , Kusatsu , 0 - 0 , Nagano Parceiro
Sat 19 Jul , Kamatamare S. , 1 - 2 , Kochi United
Sat 19 Jul , Nagano Parceiro , 1 - 0 , Matsumoto Y.
Sat 19 Jul , Tochigi City , 1 - 1 , Kusatsu
Sat 19 Jul , Gainare Tottori , 4 - 3 , AC Numazu
Sat 19 Jul , Z. Kanazawa , 0 - 1 , V. Hachinohe
Sun 20 Jul , Fukushima Utd , 3 - 3 , FC Ryukyu
Sun 20 Jul , Tochigi SC , 1 - 2 , SC Sagamihara
Mon 21 Jul , Gifu , 1 - 1 , Nara Club
Mon 21 Jul , Kagoshima Utd , 2 - 1 , Osaka
Mon 21 Jul , T. Miyazaki , 1 - 3 , G. Kitakyushu
Sat 26 Jul , AC Numazu , 1 - 3 , G. Kitakyushu
Sat 26 Jul , FC Ryukyu , 2 - 0 , Nagano Parceiro
Sat 26 Jul , Kochi United , 1 - 0 , Fukushima Utd
Sat 26 Jul , Matsumoto Y. , 1 - 0 , Gifu
Sat 26 Jul , Nara Club , 2 - 1 , Z. Kanazawa
Sat 26 Jul , Osaka , 2 - 1 , Kamatamare S.
Sat 26 Jul , SC Sagamihara , 1 - 0 , T. Miyazaki
Sat 26 Jul , Tochigi City , 0 - 1 , Tochigi SC
Sat 26 Jul , V. Hachinohe , 3 - 2 , Gainare Tottori
Sat 26 Jul , Kusatsu , 2 - 3 , Kagoshima Utd
Sat 16 Aug , Fukushima Utd , 2 - 2 , Tochigi City
Sat 16 Aug , G. Kitakyushu , 0 - 1 , Nara Club
Sat 16 Aug , Kamatamare S. , 1 - 1 , Gifu
Sat 16 Aug , Nagano Parceiro , 0 - 1 , V. Hachinohe
Sat 16 Aug , Gainare Tottori , 1 - 0 , Kochi United
Sat 16 Aug , Kagoshima Utd , 3 - 0 , SC Sagamihara
Sat 16 Aug , Kusatsu , 2 - 0 , Osaka
