Sat 2 Aug , Amazonas , 2 - 2 , Goias
Sun 3 Aug , Chapecoense , 3 - 2 , CRB
Sun 3 Aug , Novorizontino , 1 - 1 , Avai
Sun 3 Aug , Athletico PR , 1 - 1 , Paysandu
Mon 4 Aug , Athletic Club , 1 - 1 , Atletico GO
Tue 5 Aug , Cuiaba , 2 - 0 , Volta Redonda
Fri 8 Aug , Ferroviaria , 2 - 1 , Amazonas
Sat 9 Aug , Coritiba , 0 - 0 , Chapecoense
Sat 9 Aug , America MG , 0 - 1 , Remo
Sat 9 Aug , Goias , 2 - 1 , Operario PR
Sat 9 Aug , Volta Redonda , 0 - 0 , Novorizontino
Sun 10 Aug , Avai , 2 - 0 , Cuiaba
Sun 10 Aug , Atletico GO , 2 - 0 , Botafogo SP
Mon 11 Aug , Criciuma , 4 - 2 , Athletico PR
Tue 12 Aug , Paysandu , 0 - 1 , Vila Nova
Tue 12 Aug , CRB , 1 - 0 , Athletic Club
Fri 15 Aug , Novorizontino , 1 - 2 , Coritiba
Fri 15 Aug , Amazonas , 2 - 2 , America MG
Sat 16 Aug , Remo , 1 - 1 , Botafogo SP
Sat 16 Aug , Vila Nova , 2 - 0 , Goias
Sat 16 Aug , Athletico PR , 1 - 1 , Cuiaba
Sun 17 Aug , Chapecoense , 2 - 0 , Paysandu
Sun 17 Aug , Atletico GO , 1 - 3 , Ferroviaria
Mon 18 Aug , Volta Redonda , 0 - 1 , CRB
Tue 19 Aug , Athletic Club , 1 - 1 , Criciuma
Tue 19 Aug , Operario PR , 0 - 0 , Avai
Fri 22 Aug , Athletic Club , 0 - 4 , Chapecoense
Sat 23 Aug , Criciuma , 2 - 0 , Novorizontino
Sat 23 Aug , Coritiba , 0 - 0 , Remo
Sat 23 Aug , Goias , 1 - 0 , America MG
Sat 23 Aug , CRB , 0 - 1 , Athletico PR
Sun 24 Aug , Paysandu , 1 - 2 , Operario PR
Sun 24 Aug , Ferroviaria , 0 - 0 , Volta Redonda
Sun 24 Aug , Cuiaba , 2 - 2 , Atletico GO
Mon 25 Aug , Botafogo SP , 2 - 0 , Vila Nova
Tue 26 Aug , Avai , 1 - 2 , Amazonas
Fri 29 Aug , Remo , 0 - 1 , Criciuma
Fri 29 Aug , Operario PR , 1 - 0 , Coritiba
Sat 30 Aug , CRB , 2 - 0 , Paysandu
Sat 30 Aug , Goias , 2 - 3 , Botafogo SP
Sat 30 Aug , Athletico PR , 2 - 1 , Novorizontino
Sun 31 Aug , Atletico GO , 2 - 0 , Amazonas
Sun 31 Aug , Volta Redonda , 0 - 2 , Athletic Club
Mon 1 Sep , Chapecoense , 2 - 2 , Vila Nova
Tue 2 Sep , Ferroviaria , 2 - 2 , Cuiaba
Tue 2 Sep , America MG , 2 - 0 , Avai
Fri 5 Sep , Amazonas , 1 - 3 , Remo
Fri 5 Sep , Paysandu , 1 - 2 , Volta Redonda
Sat 6 Sep , Coritiba , 4 - 0 , Ferroviaria
Sat 6 Sep , Botafogo SP , 1 - 3 , Athletico PR
Sun 7 Sep , Criciuma , 2 - 0 , Chapecoense
Sun 7 Sep , America MG , 1 - 1 , Operario PR
Sun 7 Sep , Avai , 2 - 1 , Goias
Mon 8 Sep , Novorizontino , 1 - 1 , Atletico GO
Mon 8 Sep , Cuiaba , 1 - 0 , CRB
Tue 9 Sep , Vila Nova , 1 - 1 , Athletic Club
Fri 12 Sep , Volta Redonda , 0 - 0 , Criciuma
Sat 13 Sep , Coritiba , 0 - 0 , Goias
Sat 13 Sep , Paysandu , 0 - 0 , America MG
Sat 13 Sep , Vila Nova , 1 - 1 , Remo
Sun 14 Sep , Operario PR , 1 - 1 , Cuiaba
Sun 14 Sep , Athletic Club , 2 - 0 , Botafogo SP
Mon 15 Sep , Ferroviaria , 1 - 2 , Novorizontino
Tue 16 Sep , CRB , 2 - 0 , Amazonas
Tue 16 Sep , Atletico GO , 2 - 1 , Avai
Wed 17 Sep , Chapecoense , 2 - 3 , Athletico PR
Thu 18 Sep , Botafogo SP , 1 - 1 , Operario PR
Fri 19 Sep , Novorizontino , 1 - 0 , Athletic Club
Sat 20 Sep , Goias , 1 - 0 , Paysandu
Sat 20 Sep , Amazonas , 1 - 0 , Volta Redonda
Sat 20 Sep , Avai , 2 - 2 , Ferroviaria
Sat 20 Sep , Remo , 0 - 1 , Atletico GO
Sun 21 Sep , America MG , 1 - 0 , Coritiba
Sun 21 Sep , Criciuma , 1 - 0 , CRB
Sun 21 Sep , Athletico PR , 2 - 0 , Vila Nova
Sun 21 Sep , Cuiaba , 1 - 0 , Chapecoense
Tue 23 Sep , Paysandu , 0 - 1 , Novorizontino
Wed 24 Sep , Ferroviaria , 1 - 1 , Goias
Wed 24 Sep , Athletic Club , 0 - 3 , Athletico PR
Wed 24 Sep , CRB , 3 - 2 , Botafogo SP
Wed 24 Sep , Vila Nova , 2 - 2 , Cuiaba
Wed 24 Sep , Operario PR , 2 - 1 , Amazonas
Thu 25 Sep , Volta Redonda , 2 - 1 , Remo
Thu 25 Sep , Coritiba , 0 - 2 , Criciuma
Fri 26 Sep , Atletico GO , 1 - 0 , America MG
Fri 26 Sep , Chapecoense , 0 - 1 , Avai
Sat 27 Sep , Athletico PR , 1 - 0 , Operario PR
Sun 28 Sep , Criciuma , 2 - 4 , Paysandu
Sun 28 Sep , Novorizontino , 1 - 1 , Vila Nova
Sun 28 Sep , Remo , 4 - 2 , CRB
Sun 28 Sep , Botafogo SP , 1 - 2 , Ferroviaria
Sun 28 Sep , Cuiaba , 2 - 1 , Athletic Club
Mon 29 Sep , Amazonas , 1 - 3 , Chapecoense
Mon 29 Sep , America MG , 2 - 1 , Volta Redonda
Mon 29 Sep , Avai , 0 - 2 , Coritiba
Wed 1 Oct , Goias , 0 - 0 , Atletico GO
Thu 2 Oct , Paysandu , 1 - 1 , Cuiaba
Fri 3 Oct , Vila Nova , 1 - 1 , Criciuma
Fri 3 Oct , Athletic Club , 2 - 2 , Amazonas
Sat 4 Oct , Coritiba , 2 - 0 , Botafogo SP
Sat 4 Oct , CRB , 1 - 0 , Avai
Sat 4 Oct , Chapecoense , 1 - 0 , Novorizontino
Sat 4 Oct , Volta Redonda , 0 - 0 , Goias
Sat 4 Oct , Ferroviaria , 1 - 3 , America MG
Sun 5 Oct , Operario PR , 0 - 1 , Remo
Sun 5 Oct , Atletico GO , 3 - 0 , Athletico PR
Tue 7 Oct , Amazonas , 2 - 1 , Criciuma
Wed 8 Oct , Goias , 1 - 2 , CRB
Wed 8 Oct , Botafogo SP , 1 - 0 , Paysandu
Wed 8 Oct , Cuiaba , 0 - 1 , Novorizontino
Wed 8 Oct , Operario PR , 1 - 4 , Athletic Club
Thu 9 Oct , Avai , 3 - 0 , Volta Redonda
Thu 9 Oct , America MG , 1 - 1 , Vila Nova
Thu 9 Oct , Ferroviaria , 0 - 1 , Chapecoense
Thu 9 Oct , Coritiba , 2 - 1 , Atletico GO
Fri 10 Oct , Remo , 2 - 1 , Athletico PR
Sat 11 Oct , Athletic Club , 1 - 1 , Goias
Sun 12 Oct , Novorizontino , 3 - 0 , Operario PR
Sun 12 Oct , Criciuma , 2 - 1 , America MG
Sun 12 Oct , Vila Nova , 1 - 0 , Amazonas
Sun 12 Oct , Cuiaba , 1 - 0 , Coritiba
Mon 13 Oct , Volta Redonda , 3 - 0 , Atletico GO
Tue 14 Oct , CRB , 2 - 2 , Ferroviaria
Tue 14 Oct , Chapecoense , 1 - 1 , Botafogo SP
Tue 14 Oct , Paysandu , 2 - 3 , Remo
Wed 15 Oct , Athletico PR , 1 - 1 , Avai
Fri 17 Oct , Amazonas , 0 - 0 , Novorizontino
Sat 18 Oct , Atletico GO , 1 - 0 , Vila Nova
Sat 18 Oct , America MG , 1 - 1 , CRB
Sat 18 Oct , Remo , 3 - 1 , Athletic Club
Sun 19 Oct , Avai , 1 - 1 , Criciuma
Sun 19 Oct , Operario PR , 2 - 1 , Volta Redonda
Sun 19 Oct , Botafogo SP , 2 - 2 , Cuiaba
Sun 19 Oct , Coritiba , 0 - 0 , Athletico PR
Sun 19 Oct , Goias , 1 - 3 , Chapecoense
Mon 20 Oct , Ferroviaria , 2 - 2 , Paysandu
Fri 24 Oct , Novorizontino , 1 - 1 , Botafogo SP
Sat 25 Oct , Cuiaba , 1 - 3 , Remo
Sat 25 Oct , Athletic Club , 0 - 2 , America MG
Sat 25 Oct , Volta Redonda , 0 - 1 , Coritiba
Sat 25 Oct , Paysandu , 1 - 2 , Avai
Sat 25 Oct , Criciuma , 1 - 2 , Goias
Sun 26 Oct , CRB , 2 - 1 , Atletico GO
Sun 26 Oct , Vila Nova , 2 - 2 , Ferroviaria
Mon 27 Oct , Chapecoense , 2 - 0 , Operario PR
Tue 28 Oct , Athletico PR , 2 - 0 , Amazonas
Fri 31 Oct , Atletico GO , 2 - 1 , Paysandu
Fri 31 Oct , Coritiba , 0 - 0 , CRB
Sat 1 Nov , Ferroviaria , 0 - 0 , Criciuma
Sat 1 Nov , Goias , 0 - 1 , Athletico PR
Sat 1 Nov , Avai , 2 - 1 , Athletic Club
Sun 2 Nov , Amazonas , 2 - 0 , Cuiaba
Sun 2 Nov , Remo , 1 - 1 , Chapecoense
Sun 2 Nov , Operario PR , 2 - 2 , Vila Nova
Mon 3 Nov , America MG , 2 - 2 , Novorizontino
Mon 3 Nov , Volta Redonda , 0 - 1 , Botafogo SP
Fri 7 Nov , Athletic Club , 2 - 1 , Ferroviaria
Sat 8 Nov , Cuiaba , 0 - 1 , Goias
Sat 8 Nov , Novorizontino , 1 - 1 , Remo
Sat 8 Nov , Athletico PR , 2 - 0 , Volta Redonda
Sat 8 Nov , Vila Nova , 2 - 2 , Avai
Sun 9 Nov , Criciuma , 1 - 0 , Atletico GO
Sun 9 Nov , CRB , 2 - 2 , Operario PR
Sun 9 Nov , Paysandu , 1 - 2 , Coritiba
Mon 10 Nov , Botafogo SP , 1 - 0 , Amazonas
Mon 10 Nov , Chapecoense , 0 - 1 , America MG
Fri 14 Nov , Paysandu , 2 - 2 , Amazonas
Sat 15 Nov , Atletico GO , 0 - 0 , Operario PR
Sat 15 Nov , Avai , 3 - 1 , Remo
Sat 15 Nov , Coritiba , 0 - 0 , Athletic Club
Sat 15 Nov , CRB , 2 - 0 , Vila Nova
Sat 15 Nov , Volta Redonda , 1 - 1 , Chapecoense
Sun 16 Nov , America MG , 1 - 1 , Cuiaba
Sun 16 Nov , Criciuma , 2 - 0 , Botafogo SP
Sun 16 Nov , Ferroviaria , 1 - 2 , Athletico PR
Sun 16 Nov , Goias , 1 - 0 , Novorizontino
