Fri 25 Jul , Barcelona SC , 0 - 1 , LDU Quito
Sat 26 Jul , El Nacional , 2 - 2 , Libertad
Sat 26 Jul , Aucas , 2 - 1 , Delfin
Sat 26 Jul , Manta , 2 - 4 , Emelec
Sun 27 Jul , Cuniburo , 0 - 1 , Orense
Sun 27 Jul , Mushuc Runa , 0 - 1 , Tecnico U.
Sun 27 Jul , Macara , 1 - 4 , U. Catolica
Sun 27 Jul , D. Cuenca , 0 - 3 , I. del Valle
Sat 2 Aug , D. Cuenca , 1 - 1 , Macara
Sat 2 Aug , Barcelona SC , 2 - 0 , Orense
Sun 3 Aug , I. del Valle , 1 - 0 , El Nacional
Sun 3 Aug , LDU Quito , 2 - 1 , Mushuc Runa
Sun 3 Aug , U. Catolica , 6 - 2 , Aucas
Sun 3 Aug , Tecnico U. , 3 - 1 , Manta
Sun 3 Aug , Libertad , 1 - 2 , Emelec
Tue 5 Aug , Delfin , 3 - 3 , Cuniburo
Sat 9 Aug , Orense , 1 - 1 , U. Catolica
Sat 9 Aug , Mushuc Runa , 1 - 2 , Libertad
Sat 9 Aug , Aucas , 1 - 0 , LDU Quito
Sun 10 Aug , Manta , 0 - 0 , I. del Valle
Sun 10 Aug , Cuniburo , 0 - 1 , Tecnico U.
Sun 10 Aug , Macara , 0 - 0 , Delfin
Sun 10 Aug , El Nacional , 1 - 2 , Barcelona SC
Mon 11 Aug , Emelec , 1 - 1 , D. Cuenca
Sat 16 Aug , Delfin , 0 - 3 , El Nacional
Sat 16 Aug , Mushuc Runa , 1 - 0 , Aucas
Sat 16 Aug , U. Catolica , 1 - 1 , Libertad
Sun 17 Aug , I. del Valle , 2 - 1 , Orense
Sun 17 Aug , LDU Quito , 1 - 1 , Manta
Sun 17 Aug , Tecnico U. , 0 - 1 , Emelec
Sun 17 Aug , Barcelona SC , 0 - 2 , Macara
Tue 19 Aug , D. Cuenca , 2 - 0 , Cuniburo
Sat 23 Aug , Libertad , 3 - 2 , Aucas
Sat 23 Aug , Macara , 2 - 1 , Mushuc Runa
Sat 23 Aug , Manta , 0 - 1 , D. Cuenca
Sun 24 Aug , Cuniburo , 0 - 1 , Barcelona SC
Sun 24 Aug , El Nacional , 1 - 0 , LDU Quito
Sun 24 Aug , Emelec , 0 - 1 , I. del Valle
Sun 24 Aug , U. Catolica , 2 - 0 , Tecnico U.
Tue 26 Aug , Orense , 3 - 1 , Delfin
Sat 30 Aug , Cuniburo , 0 - 1 , El Nacional
Sat 30 Aug , I. del Valle , 4 - 0 , Tecnico U.
Sat 30 Aug , LDU Quito , 1 - 1 , Macara
Sat 30 Aug , Mushuc Runa , 2 - 0 , Manta
Sun 31 Aug , Aucas , 1 - 2 , Emelec
Sun 31 Aug , D. Cuenca , 1 - 1 , Orense
Sun 31 Aug , Barcelona SC , 2 - 3 , U. Catolica
Tue 2 Sep , Delfin , 0 - 0 , Libertad
Sat 13 Sep , Libertad , 0 - 1 , LDU Quito
Sat 13 Sep , I. del Valle , 3 - 1 , Cuniburo
Sat 13 Sep , U. Catolica , 1 - 1 , Delfin
Sun 14 Sep , Orense , 3 - 1 , Mushuc Runa
Sun 14 Sep , El Nacional , 0 - 2 , Macara
Sun 14 Sep , Tecnico U. , 0 - 2 , D. Cuenca
Sun 14 Sep , Emelec , 0 - 4 , Barcelona SC
Tue 16 Sep , Manta , 1 - 1 , Aucas
Sat 20 Sep , Mushuc Runa , 2 - 2 , I. del Valle
Sat 20 Sep , Cuniburo , 4 - 1 , Manta
Sat 20 Sep , Delfin , 0 - 1 , Tecnico U.
Sun 21 Sep , Aucas , 0 - 0 , Orense
Sun 21 Sep , D. Cuenca , 0 - 1 , Barcelona SC
Sun 21 Sep , Emelec , 4 - 0 , El Nacional
Sun 21 Sep , LDU Quito , 2 - 4 , U. Catolica
Sun 21 Sep , Macara , 1 - 1 , Libertad
Sat 27 Sep , Manta , 1 - 3 , Macara
Sat 27 Sep , El Nacional , 0 - 5 , Mushuc Runa
Sun 28 Sep , Barcelona SC , 1 - 1 , Aucas
Sun 28 Sep , I. del Valle , 0 - 0 , Delfin
Sun 28 Sep , Libertad , 1 - 0 , Cuniburo
Sun 28 Sep , Orense , 0 - 0 , Emelec
Sun 28 Sep , Tecnico U. , 1 - 3 , LDU Quito
Sun 28 Sep , U. Catolica , 2 - 1 , D. Cuenca
Sat 4 Oct , Delfin , 2 - 2 , El Nacional
Sat 4 Oct , Emelec , 3 - 1 , D. Cuenca
Sun 5 Oct , U. Catolica , 2 - 2 , LDU Quito
Sun 5 Oct , Macara , 3 - 2 , Aucas
Sun 5 Oct , Libertad , 2 - 0 , Orense
Sun 5 Oct , Barcelona SC , 0 - 3 , I. del Valle
Fri 17 Oct , Orense , 1 - 2 , I. del Valle
Sat 18 Oct , LDU Quito , 3 - 0 , Barcelona SC
Sat 18 Oct , Mushuc Runa , 2 - 1 , Cuniburo
Sat 18 Oct , Delfin , 0 - 4 , Macara
Sun 19 Oct , Manta , 2 - 0 , Tecnico U.
Sun 19 Oct , Aucas , 0 - 0 , Emelec
Sun 19 Oct , Libertad , 1 - 1 , U. Catolica
Tue 21 Oct , El Nacional , 0 - 2 , D. Cuenca
Sat 25 Oct , Orense , 2 - 1 , U. Catolica
Sat 25 Oct , Mushuc Runa , 1 - 1 , Manta
Sat 25 Oct , Barcelona SC , 1 - 0 , Libertad
Sun 26 Oct , D. Cuenca , 1 - 2 , Aucas
Sun 26 Oct , Cuniburo , 1 - 2 , Tecnico U.
Sun 26 Oct , El Nacional , 2 - 0 , Macara
Sun 26 Oct , Emelec , 1 - 0 , Delfin
Sat 1 Nov , Delfin , 2 - 0 , D. Cuenca
Sat 1 Nov , Tecnico U. , 0 - 0 , Mushuc Runa
Sat 1 Nov , Aucas , 3 - 3 , El Nacional
Sun 2 Nov , Cuniburo , 2 - 0 , Manta
Sun 2 Nov , Macara , 3 - 0 , Emelec
Sun 2 Nov , U. Catolica , 1 - 1 , Barcelona SC
Tue 4 Nov , Libertad , 1 - 3 , I. del Valle
Wed 5 Nov , LDU Quito , 4 - 0 , Orense
Sat 8 Nov , D. Cuenca , 0 - 2 , Macara
Sat 8 Nov , Manta , 3 - 0 , Mushuc Runa
Sat 8 Nov , I. del Valle , 0 - 2 , U. Catolica
Sun 9 Nov , LDU Quito , 3 - 1 , Libertad
Sun 9 Nov , El Nacional , 2 - 1 , Emelec
Sun 9 Nov , Orense , 1 - 2 , Barcelona SC
Tue 11 Nov , Aucas , 8 - 0 , Delf
