Sat 16 Aug , Suwon City , 4 - 2 , Ulsan
Sun 17 Aug , Gimcheon Sangmu , 6 - 2 , Seoul
Sun 17 Aug , Gwangju , 2 - 0 , Daejeon Citizen
Sat 23 Aug , Daegu , 2 - 2 , Jeju Utd
Sat 23 Aug , Gimcheon Sangmu , 3 - 2 , Suwon City
Sat 23 Aug , Gwangju , 0 - 1 , Gangwon
Sun 24 Aug , Anyang , 3 - 2 , Daejeon Citizen
Sun 24 Aug , Pohang Steelers , 3 - 1 , Jeonbuk
Sun 24 Aug , Seoul , 3 - 2 , Ulsan
Sat 30 Aug , Daegu , 3 - 1 , Suwon City
Sat 30 Aug , Jeju Utd , 0 - 1 , Gwangju
Sat 30 Aug , Ulsan , 0 - 2 , Jeonbuk
Sun 31 Aug , Daejeon Citizen , 2 - 1 , Gimcheon Sangmu
Sun 31 Aug , Gangwon , 1 - 0 , Pohang Steelers
Sun 31 Aug , Seoul , 1 - 2 , Anyang
Sat 13 Sep , Gangwon , 3 - 2 , Seoul
Sat 13 Sep , Jeonbuk , 1 - 0 , Daejeon Citizen
Sat 13 Sep , Pohang Steelers , 1 - 1 , Ulsan
Sun 14 Sep , Anyang , 2 - 1 , Jeju Utd
Sun 14 Sep , Gimcheon Sangmu , 1 - 2 , Daegu
Sun 14 Sep , Suwon City , 2 - 4 , Gwangju
Sat 20 Sep , Jeonbuk , 1 - 2 , Gimcheon Sangmu
Sat 20 Sep , Daejeon Citizen , 3 - 2 , Daegu
Sun 21 Sep , Suwon City , 1 - 0 , Gangwon
Sun 21 Sep , Ulsan , 0 - 0 , Anyang
Sun 21 Sep , Pohang Steelers , 1 - 0 , Jeju Utd
Sun 21 Sep , Seoul , 3 - 0 , Gwangju
Sat 27 Sep , Gangwon , 0 - 0 , Daejeon Citizen
Sat 27 Sep , Daegu , 1 - 1 , Ulsan
Sat 27 Sep , Gimcheon Sangmu , 2 - 0 , Pohang Steelers
Sat 27 Sep , Seoul , 1 - 1 , Jeonbuk
Sun 28 Sep , Anyang , 0 - 0 , Gwangju
Sun 28 Sep , Jeju Utd , 3 - 4 , Suwon City
Fri 3 Oct , Jeju Utd , 1 - 1 , Jeonbuk
Sat 4 Oct , Gwangju , 2 - 3 , Daegu
Sun 5 Oct , Gimcheon Sangmu , 3 - 0 , Ulsan
Sun 5 Oct , Pohang Steelers , 1 - 3 , Daejeon Citizen
Sun 5 Oct , Gangwon , 1 - 1 , Anyang
Sun 5 Oct , Suwon City , 1 - 1 , Seoul
Sat 18 Oct , Anyang , 4 - 1 , Gimcheon Sangmu
Sat 18 Oct , Daegu , 2 - 2 , Gangwon
Sat 18 Oct , Daejeon Citizen , 3 - 1 , Jeju Utd
Sat 18 Oct , Jeonbuk , 2 - 0 , Suwon City
Sat 18 Oct , Seoul , 1 - 2 , Pohang Steelers
Sat 18 Oct , Ulsan , 2 - 0 , Gwang
