Sat 16 Aug , Maringa , 1 - 0 , Retro
Sat 16 Aug , Ponte Preta , 1 - 0 , Itabaiana
Sat 16 Aug , ABC , 3 - 4 , Guarani
Sat 16 Aug , CSA , 2 - 2 , Ituano
Sun 17 Aug , Brusque , 1 - 2 , Londrina
Sun 17 Aug , Sao Bernardo , 0 - 3 , Figueirense
Sun 17 Aug , Confianca , 1 - 0 , Floresta
Sun 17 Aug , Nautico , 1 - 0 , Anapolis
Mon 18 Aug , Tombense , 0 - 0 , Caxias
Mon 18 Aug , Ypiranga , 2 - 2 , Botafogo PB
Sat 23 Aug , Caxias , 0 - 1 , Brusque
Sat 23 Aug , Ituano , 2 - 1 , Ypiranga
Sat 23 Aug , Figueirense , 1 - 0 , Floresta
Sun 24 Aug , Itabaiana , 2 - 2 , Maringa
Sun 24 Aug , Londrina , 1 - 1 , Anapolis
Sun 24 Aug , Botafogo PB , 1 - 0 , Tombense
Sun 24 Aug , Retro , 1 - 1 , ABC
Sun 24 Aug , Sao Bernardo , 1 - 1 , Nautico
Mon 25 Aug , CSA , 1 - 2 , Ponte Preta
Mon 25 Aug , Guarani , 1 - 0 , Confianca
Sat 30 Aug , ABC , 0 - 1 , Itabaiana
Sat 30 Aug , Anapolis , 2 - 0 , Botafogo PB
Sat 30 Aug , Brusque , 2 - 0 , CSA
Sat 30 Aug , Confianca , 1 - 0 , Retro
Sat 30 Aug , Floresta , 2 - 0 , Sao Bernardo
Sat 30 Aug , Maringa , 3 - 0 , Caxias
Sat 30 Aug , Nautico , 3 - 0 , Ituano
Sat 30 Aug , Ponte Preta , 1 - 0 , Londrina
Sat 30 Aug , Tombense , 2 - 2 , Guarani
Sat 30 Aug , Ypiranga , 1 - 0 , Figueiren
