Tue 18 Mar , A. Tucuman , 1 - 2 , Velez Sarsfield
Tue 18 Mar , SM San Juan , 0 - 2 , Platense
Fri 21 Mar , Union Santa Fe , 0 - 1 , Racing Club
Sat 22 Mar , Godoy Cruz , 0 - 0 , T. de Cordoba
Thu 27 Mar , Aldosivi , 2 - 1 , Union Santa Fe
Thu 27 Mar , Barracas C. , 2 - 1 , Estudiantes
Fri 28 Mar , I. Rivadavia , 2 - 1 , Racing Club
Fri 28 Mar , Defensa y J. , 1 - 2 , Tigre
Fri 28 Mar , Banfield , 0 - 0 , Huracan
Fri 28 Mar , San Lorenzo , 1 - 1 , Lanus
Sat 29 Mar , Platense , 2 - 1 , A. Tucuman
Sat 29 Mar , Velez Sarsfield , 0 - 1 , D. Riestra
Sat 29 Mar , Instituto , 1 - 0 , SM San Juan
Sat 29 Mar , Central Cordoba , 1 - 1 , Argentinos Jrs
Sat 29 Mar , Independiente , 4 - 0 , Godoy Cruz
Sun 30 Mar , River Plate , 2 - 2 , Rosario Central
Sun 30 Mar , Belgrano , 1 - 1 , T. de Cordoba
Sun 30 Mar , Gimnasia , 0 - 0 , Sarmiento
Sun 30 Mar , Newells , 2 - 0 , Boca Juniors
Fri 4 Apr , Estudiantes , 0 - 1 , Belgrano
Sat 5 Apr , SM San Juan , 0 - 1 , San Lorenzo
Sat 5 Apr , Godoy Cruz , 1 - 1 , I. Rivadavia
Sat 5 Apr , Rosario Central , 2 - 1 , Velez Sarsfield
Sat 5 Apr , Huracan , 3 - 3 , Aldosivi
Sat 5 Apr , T. de Cordoba , 2 - 0 , Gimnasia
Sat 5 Apr , Sarmiento , 1 - 1 , River Plate
Sun 6 Apr , Lanus , 1 - 1 , Independiente
Sun 6 Apr , Union Santa Fe , 1 - 0 , Central Cordoba
Sun 6 Apr , Boca Juniors , 1 - 0 , Barracas C.
Sun 6 Apr , Argentinos Jrs , 4 - 1 , Defensa y J.
Sun 6 Apr , Racing Club , 4 - 1 , Banfield
Mon 7 Apr , D. Riestra , 1 - 0 , Platense
Tue 8 Apr , A. Tucuman , 3 - 2 , Instituto
