Sat 2 Aug , Pittsburgh , 2 - 0 , Rhode Island
Sun 3 Aug , Louisville City , 4 - 1 , North Carolina
Sun 3 Aug , El Paso , 6 - 0 , Las Vegas L.
Sun 3 Aug , San Antonio , 1 - 3 , Sacramento R.
Sun 3 Aug , Phoenix Rising , 3 - 3 , Birmingham L.
Wed 6 Aug , Rhode Island , 1 - 0 , Detroit City
Wed 6 Aug , Hartford A. , 2 - 0 , Miami FC
Thu 7 Aug , Monterey Bay , 2 - 3 , FC Tulsa
Sat 9 Aug , Lexington , 2 - 0 , Phoenix Rising
Sat 9 Aug , Detroit City , 1 - 0 , Indy Eleven
Sat 9 Aug , Miami FC , 0 - 0 , El Paso
Sat 9 Aug , Pittsburgh , 1 - 1 , Orange County
Sat 9 Aug , Rhode Island , 0 - 0 , Loudoun Utd
Sat 9 Aug , North Carolina , 2 - 1 , Tampa Bay
Sun 10 Aug , Birmingham L. , 1 - 4 , Hartford A.
Sun 10 Aug , Louisville City , 4 - 1 , Charleston
Sun 10 Aug , FC Tulsa , 5 - 2 , New Mexico
Sun 10 Aug , Oakland Roots , 1 - 2 , Colorado S.
Sun 10 Aug , Las Vegas L. , 1 - 1 , San Antonio
Sun 10 Aug , Sacramento R. , 1 - 0 , Monterey Bay
Fri 15 Aug , North Carolina , 1 - 1 , Detroit City
Sat 16 Aug , Hartford A. , 1 - 1 , FC Tulsa
Sat 16 Aug , Loudoun Utd , 3 - 2 , Indy Eleven
Sat 16 Aug , Pittsburgh , 1 - 2 , Charleston
Sat 16 Aug , Miami FC , 2 - 4 , Louisville City
Sun 17 Aug , El Paso , 2 - 2 , Monterey Bay
Sun 17 Aug , New Mexico , 2 - 2 , Las Vegas L.
Sun 17 Aug , San Antonio , 0 - 1 , Lexington
Sun 17 Aug , Colorado S. , 0 - 1 , Orange County
Sun 17 Aug , Tampa Bay , 1 - 1 , Phoenix Rising
Sun 17 Aug , Sacramento R. , 3 - 3 , Oakland Roots
Sat 23 Aug , Detroit City , 2 - 0 , Tampa Bay
Sat 23 Aug , Hartford A. , 3 - 0 , Rhode Island
Sat 23 Aug , Indy Eleven , 3 - 2 , Miami FC
Sat 23 Aug , Lexington , 2 - 1 , Oakland Roots
Sun 24 Aug , Birmingham L. , 1 - 1 , Pittsburgh
Sun 24 Aug , Louisville City , 0 - 0 , New Mexico
Sun 24 Aug , FC Tulsa , 1 - 0 , Orange County
Sun 24 Aug , El Paso , 1 - 0 , Sacramento R.
Sun 24 Aug , Monterey Bay , 0 - 0 , San Antonio
Sun 24 Aug , Las Vegas L. , 1 - 2 , North Carolina
Sun 24 Aug , Phoenix Rising , 4 - 1 , Colorado S.
