Sat 3 May , Iwaki , 1 - 1 , Blaublitz Akita
Sat 3 May , Vegalta Sendai , 3 - 1 , R. Yamaguchi
Sat 3 May , Ventforet Kofu , 0 - 2 , Tokushima V.
Sat 3 May , FC Imabari , 3 - 3 , Jubilo Iwata
Sat 3 May , Fujieda MYFC , 0 - 2 , Mito Hollyhock
Sat 3 May , M. Yamagata , 0 - 1 , C. Sapporo
Sat 3 May , Oita Trinita , 1 - 0 , R. Kumamoto
Sat 3 May , Omiya Ardija , 2 - 2 , Kataller Toyama
Sat 3 May , Sagan Tosu , 1 - 1 , JEF Utd Chiba
Sat 3 May , V-V. Nagasaki , 1 - 1 , Ehime FC
Tue 6 May , Vegalta Sendai , 2 - 1 , Fujieda MYFC
Tue 6 May , Kataller Toyama , 1 - 2 , Nagasaki
Tue 6 May , C. Sapporo , 2 - 4 , Jubilo Iwata
Tue 6 May , M. Yamagata , 3 - 0 , Oita Trinita
Tue 6 May , R. Yamaguchi , 1 - 2 , Mito Hollyhock
Tue 6 May , Blaublitz Akita , 0 - 1 , Ventforet Kofu
Tue 6 May , Ehime FC , 1 - 1 , Iwaki
Tue 6 May , R. Kumamoto , 0 - 1 , FC Imabari
Tue 6 May , Tokushima V. , 0 - 1 , Sagan Tosu
Tue 6 May , JEF Utd Chiba , 1 - 2 , Omiya Ardija
Sat 10 May , Omiya Ardija , 3 - 0 , Vegalta Sendai
Sun 11 May , Iwaki , 1 - 1 , C. Sapporo
Sun 11 May , Jubilo Iwata , 1 - 0 , Fujieda MYFC
Sun 11 May , FC Imabari , 0 - 1 , JEF Utd Chiba
Sun 11 May , Mito Hollyhock , 2 - 1 , Blaublitz Akita
Sun 11 May , Sagan Tosu , 0 - 0 , Ventforet Kofu
Sun 11 May , Tokushima V. , 2 - 0 , R. Yamaguchi
Sun 11 May , V-V. Nagasaki , 1 - 1 , M. Yamagata
Sun 11 May , Kataller Toyama , 1 - 1 , Oita Trinita
Sun 11 May , R. Kumamoto , 2 - 2 , Ehime FC
Sat 17 May , Ventforet Kofu , 1 - 0 , FC Imabari
Sat 17 May , Blaublitz Akita , 1 - 2 , Sagan Tosu
Sat 17 May , C. Sapporo , 2 - 1 , Kataller Toyama
Sat 17 May , Fujieda MYFC , 0 - 1 , Omiya Ardija
Sat 17 May , JEF Utd Chiba , 0 - 0 , Vegalta Sendai
Sat 17 May , Jubilo Iwata , 2 - 0 , Iwaki
Sat 17 May , Mito Hollyhock , 2 - 1 , R. Kumamoto
Sun 18 May , Oita Trinita , 1 - 2 , Nagasaki
Sun 18 May , R. Yamaguchi , 1 - 0 , M. Yamagata
Sun 18 May , Ehime FC , 0 - 2 , Tokushima V.
Sun 25 May , Iwaki , 1 - 2 , Vegalta Sendai
Sun 25 May , M. Yamagata , 0 - 4 , Ventforet Kofu
Sun 25 May , R. Yamaguchi , 0 - 0 , Fujieda MYFC
Sun 25 May , Sagan Tosu , 2 - 1 , C. Sapporo
Sun 25 May , Tokushima V. , 1 - 1 , Jubilo Iwata
Sun 25 May , V-V. Nagasaki , 1 - 0 , JEF Utd Chiba
Sun 25 May , R. Kumamoto , 1 - 2 , Blaublitz Akita
Sat 31 May , Blaublitz Akita , 2 - 2 , Kataller Toyama
Sat 31 May , Fujieda MYFC , 2 - 1 , M. Yamagata
Sat 31 May , JEF Utd Chiba , 0 - 0 , R. Yamaguchi
Sat 31 May , Mito Hollyhock , 3 - 0 , Nagasaki
Sat 31 May , Omiya Ardija , 2 - 2 , Jubilo Iwata
Sat 31 May , Sagan Tosu , 2 - 2 , Ehime FC
